"CLI_NUM";"CLI_INTITULE";"CLI_SIRET";"CLI_IDENTIFIANT"
"CMT";"CMT SERVICE PIECE";88481873300013;"FR92884818733  "
"RUNAUTORACING";"RUN AUTO RACING";82896919600017;"FR66828969196  "
"PERPONT";"SP SERVICES & FILS";51220695400046;"FR30512206954  "
"TARPAU";"GARAGE TARPAU";82787705100017;"FR00827877051  "
"JULELECAUTO";"JUL' ELEC AUTO";82021265200011;"FR71820212652  "
"TMJ";"GARAGE TMJ";83509560500019;"FR24835095605  "
"INAMOFAMILY";"INAMO FAMILY";84925438800010;"FR73849254388  "
"AUTO110";"AUTO 110";52481851500032;"FR57524818515  "
"RAPIDOTOPTP";"RAPIDOTO GUADELOUPE";80866682000028;"FR14808666820  "
"RACECAR";"RACE CAR MOTORSPORT";88986000300017;"FR50889860003  "
"FLASHAUTO973";"FLASH AUTO GUYANE";43044966000017;"FR20430449660  "
"CARFACTORY";"CAR FACTORY";88350814500017;"FR29883508145  "
"MADARUNPIECESAUTO";"MADARUN PIECES AUTOS";89099846100010;"FR54890998461  "
"VACAUTO";"VACauto";84945501900026;"FR81849455019  "
"AUTOMECA";"AUTOMECA";35246602300012;"FR14352466023  "
"TMR";"SARL T.M.R.";81201735800019;"FR03812017358  "
"NARSY";"GARAGE NARSY";43144542800011;"FR15431445428  "
"IDFAUTOS";"IDF AUTOS AUTOWAYS SERVICE";38831521000020;"FR86388315210  "
"PINGRET";"GARAGE PINGRET";38792169500012;"FR31387921695  "
"CEDEVO";"GARAGE CED EVO";52940670400013;"FR33529406704  "
"WAYCAR";"WAY'CAR / OUIGLASS";85129373800015;"FR42851293738  "
"SGLV";"SOCIETE GUADELOUPEENNE DE LOCATION DE VEHICULES";53887656600018;"FR65538876566  "
"AUTOSMOTOSEXPRESS";"CARROSSERIE AUTOS MOTOS EXPRESS";50046723800019;"FR30500467238  "
"JEANMAFOUTA";"GARAGE JEAN MAFOUTA";39306838200034;"FR20393068382  "
"TESCHERFRERESSARL";"GARAGE TESCHER FRERES SARL";53249243600011;"FR34532492436  "
"MVA";"GARAGE MVA";84941632600015;"FR14849416326  "
"SARLTMR";"SARL TMR";81201735800019;"FR03812017358  "
"AVRILASSISTANCE";"AVRIL ASSISTANCE";84326112400013;"FR07843261124  "
"FREDO";"GARAGE FREDO";48206216300035;"FR18482062163  "
"CLUMMERAELECT";"CLIMMECA ELECT";81897295200019;"FR48818972952  "
"MOINACHECHRISTOPH";"GARAGE MOINACHE CHRISTOPHE";31775317600021;"FR91317753176  "
"FIVESTARSTEMARIE";"GARAGE FIVE STAR SAINTE MARIE";82203415300012;"FR79822034153  "
"PASCAL";"GARAGE PASCAL";42109768400037;"FR81421097684  "
"BFR";"GARAGE BFR";83989946500018;"FR23839899465  "
"RM";"Garage R.M";50919322300013;"FR13509193223 "
"AMP";"A.M.P";44966434100012;"FR67449664341  "
"NATCHAN";"GARAGE NATCHAN";45157779500011;"FR66451577795  "
"JMAUTO";"JM AUTO";80742105200018;"FR23807421052  "
"EVOLUTION";"GARAGE EVOLUTION";48503957200055;"FR00485039572  "
"ANELARD";"SARL ANELARD";50101555600019;"FR58501015556  "
"ANELARDCARROSSERI";"SAS ANELARD CARROSSERIE";81075323600019;"FR46810753236  "
"COMPAGNIEDELAJEUN";"GARAGE COMPAGNIE DE LA JEUNESSE";50129903600019;"FR02501299036  "
"JOSPORT";"GARAGE JO SPORT";49899068800018;"FR79498990688  "
"DGAUTOMOBILE";"D&G AUTOMOBILE";82855857700015;"FR12828558577  "
"SOLINESERVICE";"Saline Service Rapide";84095232900018;"FR04840952329  "
"EURLSUD";"EURL SUD CARROSSERIE";52291231000011;"FR77522912310  "
"CASSEDELASOURCE";"SARL CASSE DE LA SOURCE";39810819100030;"FR57398108191  "
"GTSAUTOMOBILE";"GTS AUTOMOBILE";80055663100011;"FR54800556631  "
"RAFMAUTO";"RAFH AUTO";84071382000016;"FR46840713820  "
"ELLAMA";"GARAGE ELLAMA";84811951700011;"FR63848119517  "
"FLAMBOYANT";"GARAGE DES FLAMBOYANT";34422840800029;"FR53344228408  "
"MERLOSERVICE";"MERLO SERVICE AUTO";51228413400016;"FR31512284134  "
"AHLING";"GARAGE AH-LING";43898604400024;"FR08438986044  "
"SASUMECA";"SASU MECA RACING SERVICES";82025297100016;"FR69820252971  "
"FIVESTAR";"FIVE STAR";79950773600012;"FR49799507736  "
"CARBON";"CARBON GARAGE";80293543700011;"FR85802935437  "
"ZAMU";"SAS ZAMU";87813117600017;"FR28878131176  "
"LAPETITEILE";"GARAGE DE LA PETITE ILE ";33246923800023;"FR85332469238  "
"SPPM";"SARL SPPM";48119259900019;"FR44481192599  "
"HHG";"SARL HHG";49781013500010;"FR84497810135  "
"SUDEST";"GARAGE SUD EST";79843836200013;"FR08798438362  "
"EMS";"EMS PIECE AUTO";79439589700026;"FR38794395897  "
"REMPARTS";"Garage des Remparts";49281956000011;"FR18492819560  "
"SARLNURBEL";"SARAL NURBEL AUTOMOBILE";80315159600027;"FR20803151596  "
"SRPA";"SRPA GARAGE JULIE";49868258200024;"FR74498682582  "
"ULENTIN";"GARAGE ULENTIN";41030623700026;"FR72410306237 "
"SKS";"SKS GARAGE";84843965900014;"FR92848439659  "
"SAMCAW";"GARAGE SAM CAW FRERE & FILS";52428693700015;"FR03524286937  "
"RMTP";"GARAGE RMTP";50447849600012;"FR81504478496  "
"GRONDINFRED";"GARAGE GRONDIN FRED";33923591300011;"FR47339235913  "
"BUTCHLEJY";"GARAGE BUTCHLE JY";34949205800020;"FR82349492058  "
"DRCARROSSERIE";"D.R. CARROSSERIE";52344467700018;"FR73523444677  "
"SOSFILS";"GARAGE SOS FILS";53793083600029;"FR28537930836  "
"PLANETCARSYSTEM";"PLANET CAR SYSTEM";82759856600012;"FR06827598566  "
"SPAME";"GARAGE SPAME";53218311800019;"FR79532183118 "
"SDESIGN";"SDESIGN AUTOMOBILES";44096585300029;"FR28440965853  "
